tau_fn,iv_strength,dgp,num_data,estimator,run,R2avg,R2fin,R2earlystop,MSEavg,MSEfin,MSEearlystop
linear,0.6,z_image,2000,AGMM,1,0.9865973,0.97061956,0.9859073,0.008427425,0.018474031,0.008861289
linear,0.6,z_image,2000,AGMM,2,0.97078514,0.96220565,0.98932105,0.019840768,0.025667377,0.007252444
linear,0.6,z_image,2000,AGMM,3,0.95996577,0.9574068,0.97710705,0.027271114,0.029014241,0.015594569
linear,0.6,z_image,2000,AGMM,4,0.9891587,0.9872574,0.98842466,0.007058114,0.008295923,0.0075360155
linear,0.6,z_image,2000,AGMM,5,0.995251,0.98738,0.98121566,0.0030096346,0.007997819,0.011904422
sin,0.6,z_image,2000,AGMM,1,0.82936317,0.86721504,0.86189455,0.021738296,0.016916152,0.017593956
sin,0.6,z_image,2000,AGMM,2,0.7114167,0.80196184,0.7073255,0.03201418,0.021969495,0.032468036
sin,0.6,z_image,2000,AGMM,3,0.638047,0.7463819,0.69632465,0.041069593,0.028777193,0.034457017
sin,0.6,z_image,2000,AGMM,4,0.7761745,0.850851,0.80562615,0.023650417,0.01575976,0.020538423
sin,0.6,z_image,2000,AGMM,5,0.6592659,0.8283539,0.76595664,0.04489994,0.022618517,0.030840859
abs,0.6,z_image,2000,AGMM,1,0.96264035,0.9406293,0.97463423,0.008199016,0.013029594,0.0055668135
abs,0.6,z_image,2000,AGMM,2,0.9347412,0.95704633,0.76389605,0.016111229,0.010604498,0.058289852
abs,0.6,z_image,2000,AGMM,3,0.8364367,0.84462047,0.8007396,0.040676832,0.038641583,0.049554396
abs,0.6,z_image,2000,AGMM,4,0.97165906,0.9639602,0.92468107,0.007852874,0.0099861175,0.02086979
abs,0.6,z_image,2000,AGMM,5,0.84372765,0.89620227,0.6921227,0.03751881,0.024920382,0.07391704
