tau_fn,mc_replications,cumulative_mean_mse,cumulative_sd_mse,cumulative_se_mse
abs,1,0.6428472995758057,,
abs,2,2.194149136543274,2.19387209717369,1.5513018369674683
abs,3,2.258458455403646,1.5552956165486664,0.8979503428838176
linear,1,8.105860710144043,,
linear,2,4.182140231132507,5.548978716379171,3.9237204790115356
linear,3,6.513314803441365,5.630160482362174,3.2505746700725946
linear,4,5.151558011770248,5.343219779317034,2.671609889658517
linear,5,34.118725657463074,64.93763550727674,29.040993458474965
sin,1,101.0137710571289,,
sin,2,51.470387518405914,70.06492492631399,49.543383538722985
sin,3,42.58680284023285,51.877751326246035,29.951633693160616
